x y
4.2991 0.2832
6.7849 0.4866
6.6713 0.0454
3.9526 0.5993
0.0769 0.3014
2.1123 0.1372
2.5552 0.3281
0.0773 0.747
1.7569 0.3802
7.0367 0.5003
8.3335 0.8062
0.7208 0.8618
0.423 0.0187
9.2116 0.8621
5.7576 0.5734
7.095 0.4177
1.1517 0.0209
3.2477 0.8013
6.1813 0.832
9.1977 0.0881
8.4448 0.2433
5.8887 0.524
3.9577 0.3103
3.3951 0.3331
1.6813 0.5105
1.1403 0.51
9.0592 0.3494
7.2738 0.8189
8.1504 0.2363
1.4644 0.1973
6.024 0.7602
6.5551 0.1771
7.7285 0.4941
7.5445 0.7599
4.4891 0.9242
5.6449 0.6353
6.2452 0.8642
6.2722 0.151
0.6829 0.4422
3.0282 0.2747
0.5617 0.5073
3.1041 0.4519
0.5689 0.8317
0.7673 0.8643
8.5529 0.615
5.0707 0.4627
5.5432 0.7918
8.9588 0.4497
8.0982 0.6518
3.2153 0.4756
1.5086 0.0619
1.035 0.8991
3.4344 0.7143
5.0455 0.1726
2.4774 0.4378
4.3942 0.5227
1.5875 0.3729
2.8289 0.4088
3.3837 0.5979
7.8923 0.6473
0.6591 0.0945
6.7838 0.2841
7.2373 0.6566
9.0634 0.8733
3.3336 0.5827
1.4143 0.3498
9.677 0.6985
3.9196 0.595
9.38 0.3096
3.7668 0.7917
8.1318 0.6701
8.2896 0.7388
6.8541 0.5264
6.4602 0.4234
3.6183 0.3626
1.8026 0.2142
9.4767 0.4863
2.2654 0.1376
0.7717 0.8444
1.0114 0.7709
8.3512 0.8837
0.3775 0.3368
7.6631 0.131
3.7672 0.1622
8.3135 0.7711
8.0904 0.1655
4.3767 0.4109
6.7636 0.2375
4.442 0.2849
7.4854 0.4489
5.3401 0.3095
8.0862 0.469
8.3511 0.3678
9.4713 0.9844
4.6168 0.2818
3.8187 0.5275
9.6627 0.8169
8.0126 0.1384
2.5 0.6412
8.7412 0.5545
1.0259 0.8459
8.5117 0.2851
7.6312 0.2728
9.0531 0.1473
4.3747 0.9464
2.2204 0.4511
3.4959 0.0267
0.5326 0.502
2.3578 0.9945
3.7491 0.0282
9.3083 0.8392
6.4996 0.7914
1.376 0.2869
8.2976 0.6961
1.3879 0.7055
4.486 0.0053
0.7923 0.2559
8.3496 0.5488
7.2723 0.5278
1.1119 0.2881
3.0115 0.0477
4.1983 0.7939
4.5711 0.1109
9.0515 0.5967
0.1644 0.5154
2.4194 0.1436
4.2924 0.6148
2.4056 0.4166
6.6437 0.0856
9.7465 0.0677
5.2606 0.5073
9.8833 0.5542
3.9045 0.4701
6.3567 0.981
2.5365 0.0162
7.8852 0.3448
7.3294 0.6283
7.715 0.7352
3.3252 0.0443
5.4601 0.8135
1.7509 0.7791
4.6462 0.6954
6.3174 0.8115
0.631 0.7762
4.5768 0.2934
0.4381 0.1995
0.4191 0.9334
5.1538 0.9891
5.4303 0.2533
7.5329 0.1911
3.5697 0.7808
8.658 0.3319
1.2448 0.368
8.8949 0.7433
8.9464 0.3866
9.7372 0.4962
4.9752 0.9243
5.1928 0.8011
7.2708 0.0789
6.0245 0.8223
5.4547 0.3212
0.8007 0.6609
3.065 0.6026
4.2612 0.6898
3.5155 0.0424
8.7004 0.3526
9.9815 0.2746
9.8003 0.9479
0.7504 0.6375
3.6331 0.8011
6.7941 0.9528
1.4278 0.6076
7.8131 0.0348
0.6723 0.7785
3.6633 0.3829
5.6724 0.6051
6.7906 0.9488
3.7201 0.7631
5.7392 0.5295
3.9803 0.6496
2.4961 0.1134
7.3567 0.499
3.8699 0.5617
2.6178 0.2603
4.4627 0.9964
2.8558 0.9165
4.912 0.1226
8.5283 0.452
8.9868 0.4451
0.8779 0.6819
8.4552 0.3196
3.4743 0.0649
5.4217 0.8913
8.5136 0.7118
9.2732 0.6377
7.937 0.5088
1.2136 0.201
1.3888 0.7904
0.2628 0.554
3.6891 0.8037
5.5165 0.6119
0.8622 0.3093
9.996 0.7189
5.257 0.7692
8.2334 0.0738
9.7238 0.6423
4.4997 0.6801
3.4451 0.878
7.8026 0.6398
1.8196 0.9663
4.3262 0.9107
0.5541 0.1242
1.5302 0.1647
3.2266 0.7093
3.4602 0.9409
8.9493 0.8459
2.5061 0.6351
5.5084 0.1252
3.0282 0.5335
5.0257 0.1686
9.4161 0.1542
6.5873 0.7206
6.0514 0.8425
5.6362 0.8252
0.2837 0.0455
6.4145 0.5768
6.5113 0.767
4.1659 0.639
4.9804 0.6272
2.8967 0.9567
4.8294 0.8047
6.8499 0.2974
0.7297 0.0599
4.3961 0.4843
2.0402 0.6067
3.1258 0.7184
7.342 0.8608
9.7537 0.1308
3.7054 0.5617
3.1912 0.4665
2.6747 0.2479
0.9681 0.2902
3.8415 0.6154
2.4827 0.8653
1.597 0.3274
5.7769 0.3127
7.6312 0.4983
5.1472 0.4988
3.0854 0.0232
9.4523 0.5054
9.6669 0.2151
3.529 0.0505
4.9489 0.8823
6.5426 0.4706
5.3669 0.8472
4.3093 0.8825
7.2751 0.7639
3.6594 0.4006
5.7028 0.1947
5.5322 0.0735
5.0426 0.7644
2.7972 0.9891
6.804 0.1188
9.7508 0.3939
7.949 0.3391
9.3895 0.755
1.9906 0.5091
5.0008 0.0453
1.3704 0.333
4.7374 0.457
6.0626 0.5155
3.2797 0.6131
1.625 0.9906
7.3932 0.2992
3.3637 0.8283
5.3234 0.7087
2.9979 0.8157
3.6836 0.6738
9.799 0.5837
7.9675 0.7253
6.8804 0.0266
4.7459 0.9671
7.829 0.7762
5.7763 0.7214
5.8352 0.1705
6.2903 0.6197
8.4117 0.1478
6.8073 0.0316
9.4821 0.1099
0.1894 0.3137
1.5143 0.6905
4.1038 0.775
9.2052 0.8728
7.3584 0.0623
1.3808 0.2073
3.2505 0.6622
5.2548 0.3138
1.7318 0.9121
3.4233 0.3543
7.7199 0.7209
6.4331 0.6933
6.1008 0.1923
2.4652 0.5581
2.2487 0.9729
2.9761 0.289
2.0728 0.705
3.1704 0.3488
9.337 0.7954
2.7346 0.1219
6.7662 0.3797
9.8016 0.8184
9.5461 0.8046
2.9045 0.2876
7.1414 0.3464
4.4238 0.2564
4.7908 0.2021
5.3858 0.933
6.9617 0.1373
6.1568 0.5868
2.4246 0.6698
5.3104 0.6379
0.5249 0.4133
7.1736 0.1005
7.7077 0.0052
5.5035 0.9291
4.0691 0.935
8.784 0.4774
1.9946 0.9639
3.2117 0.6459
9.0794 0.0895
5.7413 0.5352
7.2312 0.9367
9.1323 0.1751
8.8224 0.1758
9.1963 0.9972
3.9699 0.4954
9.3661 0.9621
9.2604 0.8767
0.0927 0.568
1.073 0.983
2.8456 0.9891
5.433 0.4939
9.3856 0.8511
4.6802 0.1928
1.1265 0.1625
4.5891 0.2573
1.862 0.7366
7.9077 0.5678
7.5728 0.1755
8.5615 0.897
8.2699 0.5153
0.8674 0.6693
1.8478 0.1406
3.236 0.248
2.6079 0.2355
7.5376 0.954
3.0195 0.7229
0.1144 0.6537
6.9277 0.0621
1.1822 0.3068
4.0542 0.5025
8.9512 0.7036
3.1098 0.1174
9.1613 0.295
6.1463 0.2191
1.3357 0.1532
7.4773 0.6057
4.1585 0.5492
4.7083 0.5375
6.6409 0.2184
2.4747 0.7547
8.7314 0.0819
4.4675 0.7038
0.781 0.5642
0.6176 0.5476
5.0549 0.5727
1.4985 0.3281
5.2034 0.1162
2.054 0.5831
0.9094 0.5104
8.0869 0.4534
5.1325 0.4568
0.5774 0.4624
8.0692 0.7233
3.9595 0.8165
7.458 0.5783
0.4529 0.3445
0.6376 0.9941
9.3458 0.069
9.3378 0.0317
4.0887 0.769
7.6583 0.9783
6.4588 0.4204
9.9286 0.3825
8.6962 0.9068
3.7565 0.6827
6.6179 0.5393
6.5353 0.3478
1.7847 0.5373
5.2884 0.7279
2.2269 0.0035
0.2274 0.2984
6.735 0.5444
5.3193 0.8234
2.4751 0.3462
2.7565 0.9374
7.2502 0.1128
8.0948 0.4192
7.6605 0.8838
0.1565 0.2061
1.009 0.0336
5.9778 0.7033
0.4868 0.7405
4.0227 0.2343
2.1727 0.8637
0.5644 0.5039
2.8926 0.8158
7.3152 0.3189
5.9792 0.6725
3.2067 0.3018
6.3943 0.025
2.7503 0.2232
7.3647 0.6767
8.9218 0.0869
4.2192 0.0298
2.1864 0.5054
0.2654 0.1988
6.4988 0.5449
2.2044 0.5893
8.0943 0.0065
8.0582 0.6981
3.4025 0.1555
9.5721 0.3366
0.9275 0.0967
8.4749 0.6037
8.0713 0.7297
5.3623 0.9731
3.7853 0.552
8.294 0.6185
8.6171 0.5774
7.0457 0.0458
2.279 0.2894
0.7979 0.2328
1.01 0.278
6.3568 0.3648
3.7018 0.2095
2.6698 0.9367
6.4804 0.6091
1.7114 0.7291
1.634 0.3795
9.8952 0.64
5.5695 0.6846
8.4285 0.776
2.2905 0.0321
3.1545 0.2677
2.1098 0.9429
8.7637 0.3147
6.5544 0.3956
9.1455 0.4589
2.6488 0.2466
5.6137 0.2627
5.8459 0.8978
3.994 0.2193
9.9754 0.5095
0.9091 0.0471
1.0965 0.6274
7.9208 0.4222
0.6353 0.3816
9.9612 0.5291
9.7108 0.8608
0.1148 0.7207
6.8171 0.537
2.6683 0.641
1.1155 0.4348
4.5372 0.9538
8.7585 0.2634
5.0059 0.1787
9.1263 0.8705
2.9844 0.6389
6.0897 0.1528
7.6251 0.5394
7.7863 0.5304
0.0057 0.3242
0.1948 0.9291
8.7872 0.8317
3.0751 0.0579
8.7801 0.9469
0.8565 0.486
0.6921 0.7606
7.6583 0.1284
4.7528 0.5498
2.6506 0.8724
4.2314 0.2118
5.393 0.7299
2.0115 0.3117
9.9515 0.6499
4.381 0.5176
1.21 0.2247
3.3809 0.5883
2.3011 0.2202
0.7099 0.6311
2.2894 0.9054
8.5964 0.0709
2.38 0.669
2.1424 0.1323
9.3551 0.571
4.7267 0.7846
8.075 0.1904
0.9693 0.4311
4.2358 0.467
7.2908 0.6734
9.8417 0.0984
4.0262 0.3393
8.6167 0.2487
1.9021 0.4486
4.2188 0.2785
2.4981 0.9233
4.4313 0.8613
5.5033 0.0506
9.9928 0.836
9.69 0.9264
8.487 0.1663
4.8564 0.2137
4.0104 0.0586
3.7897 0.9853
2.652 0.7841
4.5501 0.423
9.5732 0.9954
5.5577 0.7184
1.548 0.2967
9.6871 0.5792
5.422 0.748
0.5717 0.5842
5.0285 0.8527
1.5743 0.9608
0.8011 0.1858
5.9504 0.6752
2.352 0.1199
8.9029 0.2462
5.9452 0.6194
4.1922 0.5837
5.2278 0.9347
2.0426 0.7162
2.3869 0.3958
6.7169 0.3
3.1618 0.7519
0.7254 0.4583
9.9845 0.9961
0.7326 0.2132
2.652 0.9333
8.8086 0.8793
3.6953 0.1577
8.3374 0.7035
6.1168 0.9872
6.5398 0.0078
8.171 0.2994
6.6339 0.9389
1.3429 0.1154
1.0704 0.5532
2.7235 0.6048
7.1761 0.2036
6.3424 0.264
4.8853 0.9053
8.461 0.0923
4.2358 0.2767
0.0355 0.7711
6.3711 0.262
7.4123 0.5517
4.2769 0.0097
0.7524 0.8831
9.0393 0.5456
8.346 0.5825
1.4809 0.1274
3.0826 0.899
7.9612 0.8607
8.9892 0.2101
2.4953 0.1028
7.8012 0.8841
4.0638 0.6207
1.5455 0.9299
8.6461 0.9762
8.1077 0.8814
0.2479 0.7366
3.3219 0.9308
8.0224 0.8641
8.1075 0.2668
7.8737 0.1081
8.7217 0.8586
2.2243 0.8166
4.603 0.3052
7.9535 0.2276
0.2366 0.1931
3.2826 0.8644
9.6689 0.2791
6.4148 0.3997
9.8115 0.5362
9.3924 0.1153
9.704 0.1786
9.6253 0.2655
1.084 0.4346
7.2855 0.3137
6.0621 0.5114
3.852 0.5766
2.5472 0.7088
0.0169 0.9256
5.3845 0.7194
7.4195 0.6706
3.6422 0.07
6.6424 0.3302
3.1392 0.848
7.1975 0.3003
3.0928 0.4084
4.024 0.2957
1.2729 0.4204
9.4036 0.6773
9.0281 0.6155
3.0095 0.5479
0.0041 0.2869
4.2989 0.58
6.5471 0.465
4.4216 0.2137
4.7319 0.9012
7.9602 0.1697
0.848 0.5155
6.3294 0.3352
8.1842 0.7511
6.728 0.2246
1.9913 0.0244
2.4484 0.4751
8.4974 0.0728
4.1444 0.6298
1.9444 0.6964
4.9438 0.244
6.5606 0.0055
7.5096 0.77
1.0659 0.4251
1.7589 0.958
5.1796 0.0502
2.492 0.8483
4.5646 0.8014
6.6758 0.9879
5.9545 0.95
8.9143 0.6127
7.1927 0.5048
8.3057 0.5479
8.9721 0.7437
4.7467 0.2592
2.4724 0.6377
7.6581 0.5213
6.2675 0.2746
0.7748 0.2857
2.7172 0.3197
5.4015 0.1384
2.3126 0.6939
7.0642 0.0642
4.076 0.5426
4.1577 0.2068
4.2014 0.9048
5.8408 0.6955
8.5673 0.7656
3.8038 0.0059
3.5176 0.7535
8.5345 0.9534
4.1902 0.7475
5.4613 0.6033
2.2054 0.2194
4.3584 0.029
3.3613 0.6791
4.0432 0.165
4.6739 0.1276
6.2226 0.027
3.9402 0.5644
0.271 0.6427
1.357 0.4617
0.5028 0.3791
2.1166 0.3268
7.6123 0.3791
7.5201 0.8319
2.5227 0.0819
0.1938 0.5394
9.9991 0.35
6.5014 0.7812
6.5175 0.7542
9.4961 0.1994
0.2038 0.1524
1.2622 0.6695
5.6397 0.218
6.9946 0.7669
1.6779 0.6072
7.4793 0.1145
8.193 0.9647
1.081 0.0257
3.1196 0.6773
9.5817 0.3967
7.1501 0.076
6.9061 0.6272
1.019 0.7725
8.5029 0.6004
1.2106 0.9838
7.8264 0.3472
4.2838 0.3706
5.0596 0.3412
8.4958 0.8223
1.0554 0.9608
6.3559 0.8287
7.0731 0.4355
7.338 0.9655
2.7008 0.8082
5.3817 0.4835
4.3557 0.731
2.684 0.8517
8.3073 0.0867
8.8163 0.2439
4.6471 0.6103
3.7899 0.0287
8.5095 0.1818
2.1212 0.7978
3.4034 0.8803
7.0118 0.2763
0.1015 0.9481
0.8561 0.7201
4.8858 0.7582
6.9061 0.6459
4.9082 0.7929
0.9305 0.2216
6.9179 0.3062
5.8156 0.4733
5.3092 0.4255
7.4594 0.3308
7.0285 0.2709
2.514 0.1207
1.9258 0.1196
5.3586 0.7622
1.8515 0.2164
4.842 0.7246
9.7661 0.5246
2.83 0.1005
1.9412 0.2275
1.7944 0.0141
5.3414 0.2743
9.7429 0.5534
6.9742 0.1263
8.6846 0.4909
8.7272 0.5741
4.694 0.4405
1.8436 0.0514
9.4106 0.4777
8.2212 0.4007
0.7408 0.6294
0.5361 0.1492
5.6284 0.3038
9.9392 0.1185
7.6444 0.6063
7.9074 0.2257
5.2257 0.4505
4.4272 0.8602
9.9003 0.3054
6.2103 0.6096
7.4009 0.9476
2.0779 0.211
6.6043 0.1571
1.7381 0.0751
0.0268 0.4505
5.9381 0.2913
2.3148 0.707
7.0299 0.454
